"ENTITY","YEAR","RECORDS LOST","ORGANISATION","METHOD OF LEAK","DATA SENSITIVITY","RECORDS LOST RANGE"
"Twitter",2013,250000,"web","hacked","Email/Online info","[1025 - 400K)"
"National Security Agency",2013,1500000,"government","inside job","Full bank account details","[400K - 2,5M)"
"Kissinger Cables",2013,1700000,"government","inside job","Credit Card info","[400K - 2,5M)"
"Vodafone",2013,2e+06,"telecoms","inside job","Credit Card info","[400K - 2,5M)"
"Crescent Health Inc., Walgreens",2013,1e+05,"healthcare","lost / stolen device or media","Email password/Health records","[1025 - 400K)"
"Florida Courts",2013,1e+05,"government","lost / stolen device or media","SSN/Personal Details","[1025 - 400K)"
"Florida Department of Juvenile Justice",2013,1e+05,"government","lost / stolen device or media","SSN/Personal Details","[1025 - 400K)"
"Advocate Medical Group",2013,4e+06,"healthcare","lost / stolen device or media","SSN/Personal Details","[2,5M - 14M)"
"Indiana University",2013,146000,"academic","poor security","SSN/Personal Details","[1025 - 400K)"
"NASDAQ",2014,5e+05,"financial","hacked","Email/Online info","[400K - 2,5M)"
"Dominios Pizzas (France)",2014,6e+05,"web","hacked","Email/Online info","[400K - 2,5M)"
"Japan Airlines",2014,750000,"transport","hacked","SSN/Personal Details","[400K - 2,5M)"
"MacRumours.com",2014,860000,"web","hacked","Email/Online info","[400K - 2,5M)"
"D&B, Altegrity",2014,1e+06,"tech","hacked","Credit Card info","[400K - 2,5M)"
"Neiman Marcus",2014,1100000,"retail","hacked","SSN/Personal Details","[400K - 2,5M)"
"Staples",2014,1160000,"retail","hacked","Credit Card info","[400K - 2,5M)"
"European Central Bank",2014,4e+06,"financial","hacked","Email/Online info","[2,5M - 14M)"
"UPS",2014,4e+06,"retail","hacked","Credit Card info","[2,5M - 14M)"
"Community Health Systems",2014,4500000,"healthcare","hacked","SSN/Personal Details","[2,5M - 14M)"
"""Gmail""",2014,5e+06,"web","hacked","Email/Online info","[2,5M - 14M)"
"Sony Pictures",2014,1e+07,"media","hacked","SSN/Personal Details","[2,5M - 14M)"
"Twitch.tv",2014,1e+07,"healthcare","hacked","Email/Online info","[2,5M - 14M)"
"AOL",2014,2400000,"web","hacked","Email/Online info","[400K - 2,5M)"
"Home Depot",2014,5.6e+07,"retail","hacked","Credit Card info","[14M - 2200M]"
"Target",2014,7e+07,"retail","hacked","Credit Card info","[14M - 2200M]"
"JP Morgan Chase",2014,7.6e+07,"financial","hacked","Credit Card info","[14M - 2200M]"
"Ebay",2014,1.45e+08,"web","hacked","Email/Online info","[14M - 2200M]"
